DateID,MedallionID,HackneyLicenseID,PickupTimeID,DropoffTimeID,PickupGeographyID,DropoffGeographyID,PickupLatitude,PickupLongitude,PickupLatLong,DropoffLatitude,DropoffLongitude,DropoffLatLong,PassengerCount,TripDurationSeconds,TripDistanceMiles,PaymentType,FareAmount,SurchargeAmount,TaxAmount,TipAmount,TollsAmount,TotalAmount
20131231,10624,35117,63879,64392,172348,219532,40.8124,-73.9513,"40.8124,-73.9513",40.7982,-73.9444,"40.7982,-73.9444",1,513,1.3,CSH,7.5000,1.0000,0.5000,0.0000,0.0000,9.0000
20131231,7263,11597,61733,62114,87083,137768,40.7352,-73.9857,"40.7352,-73.9857",40.751,-73.9789,"40.751,-73.9789",1,380,1.3,CSH,7.0000,1.0000,0.5000,0.0000,0.0000,8.5000
20131231,1899,5301,59488,59815,82160,146431,40.7699,-73.9483,"40.7699,-73.9483",40.763,-73.962,"40.763,-73.962",1,326,1,CSH,6.0000,1.0000,0.5000,0.0000,0.0000,7.5000
20131231,9471,28727,69093,69548,276342,43408,40.7507,-73.9746,"40.7507,-73.9746",40.7428,-73.9823,"40.7428,-73.9823",1,454,1,CSH,7.0000,1.0000,0.5000,0.0000,0.0000,8.5000
20131231,2556,16124,51720,52440,155260,211054,40.7138,-74.0119,"40.7138,-74.0119",40.7494,-73.9694,"40.7494,-73.9694",1,720,6.11,CSH,19.5000,0.0000,0.5000,0.0000,0.0000,20.0000
20131231,1433,33809,31260,32100,263305,80576,40.726,-73.9773,"40.726,-73.9773",40.749,-73.9838,"40.749,-73.9838",1,840,2.16,CSH,11.5000,0.0000,0.5000,0.0000,0.0000,12.0000
20131231,1486,7842,18150,20112,26661,108578,40.7421,-74.008,"40.7421,-74.008",40.757,-73.8866,"40.757,-73.8866",1,1962,9.2,CSH,32.0000,0.5000,0.5000,0.0000,0.0000,33.0000
20131231,7225,36224,37020,38460,147003,70493,40.7697,-73.8637,"40.7697,-73.8637",40.6519,-74.0064,"40.6519,-74.0064",1,1440,14.78,CSH,40.5000,0.0000,0.5000,0.0000,0.0000,41.0000
20131231,8726,35009,64740,65700,230937,116813,40.7263,-74.0022,"40.7263,-74.0022",40.7555,-73.9729,"40.7555,-73.9729",1,960,3.25,CRD,13.5000,1.0000,0.5000,4.3500,0.0000,19.3500
20131231,573,30912,66600,67260,225983,76697,40.7698,-73.9822,"40.7698,-73.9822",40.8166,-73.9605,"40.8166,-73.9605",1,660,3.92,CRD,14.0000,1.0000,0.5000,3.7500,0.0000,19.2500
